created_at,likes,replies,retweets,text,user_screen_name,tidy_tweet,tokenized_tweet,MNO_label,lang,sentiment,enquiry_count
2012-02-01 04:15:08,0,0,0,Court orders <b>Airtel</b> to change name to Econet http://goo.gl/fb/2L7vf ,Enigmaticrss,court orders  b airtel  b  to change name to econet  ,"['court', 'orders', 'b', 'airtel', 'b', 'to', 'change', 'name', 'to', 'econet']",e,True,neutral,1
2012-02-01 04:48:02,0,0,2,Failure to consult Econet renders Bharti Airtel's ownership of Zain illegal - Court http://dlvr.it/18QYVp  Read & RT,AscologyNews,failure to consult econet renders bharti airtel s ownership of zain illegal   court   read   ,"['failure', 'to', 'consult', 'econet', 'renders', 'bharti', 'airtel', 's', 'ownership', 'of', 'zain', 'illegal', 'court', 'read', 'rt']",e,True,neutral,1
2012-02-01 07:30:49,0,0,0,"Econet no wan gree! Lol ""@sturvs: Fresh tussle looms over equity at 0802 http://fb.me/Mv4MXr37 """,iamtopjohn,econet no wan gree  lol   sturvs  fresh tussle looms over equity at        ,"['econet', 'no', 'wan', 'gree', 'lol', 'sturvs', 'fresh', 'tussle', 'looms', 'over', 'equity', 'at']",e,True,neg,1
2012-02-01 07:37:27,0,0,0,"Federal High Court Abuja orders Airtel Nigeria to reverse name to Econet Wireless Limited (EWL), following a case instituted by EWL.",seunphilip,federal high court abuja orders airtel nigeria to reverse name to econet  limited  ewl   following a case instituted by ewl ,"['federal', 'high', 'court', 'abuja', 'orders', 'airtel', 'nigeria', 'to', 'reverse', 'name', 'to', 'econet', 'wireless', 'limited', 'ewl', 'following', 'a', 'case', 'instituted', 'by', 'ewl']",e,True,neutral,1
2012-02-01 08:20:56,0,0,0,"""@pimpmy9jabook: Airtel must change name to Econet Court orders as Bharti files appeal http://bit.ly/wY7pUI ""ok!",segunmor,  pimpmy jabook  airtel must change name to econet court orders as bharti files appeal   ok ,"['pimpmy', 'jabook', 'airtel', 'must', 'change', 'name', 'to', 'econet', 'court', 'orders', 'as', 'bharti', 'files', 'appeal', 'ok']",e,True,neutral,1
2012-02-01 08:29:32,0,0,3,Federal High Court Orders Airtel To Reverse Its Name To Econet,Willadebo,federal high court orders airtel to reverse its name to econet,"['federal', 'high', 'court', 'orders', 'airtel', 'to', 'reverse', 'its', 'name', 'to', 'econet']",e,True,neutral,1
2012-02-01 12:00:02,0,0,2,Failure to consult Econet render Bharti Airtel's ownership of Zain illegal - Court http://dlvr.it/18Tww9  Read & RT,AscologyNews,failure to consult econet render bharti airtel s ownership of zain illegal   court   read   ,"['failure', 'to', 'consult', 'econet', 'render', 'bharti', 'airtel', 's', 'ownership', 'of', 'zain', 'illegal', 'court', 'read', 'rt']",e,True,neutral,1
2012-02-03 11:20:51,0,0,1,More Trouble For Airtel As Court Orders Bharti To Reinstate Econet’s Stake: The crisis in… http://goo.gl/fb/S6qNq ,pmnewsnigeria,more trouble for airtel as court orders bharti to reinstate econet s stake  the crisis in   ,"['more', 'trouble', 'for', 'airtel', 'as', 'court', 'orders', 'bharti', 'to', 'reinstate', 'econet', 's', 'stake', 'the', 'crisis', 'in']",e,True,neutral,1
2012-02-06 07:16:35,0,0,1,Looking for a Research & Development Consultant (f/m) expertise in Nanotech/Materials and R&D calls! http://see.sc/6xsx92  #jobs #econet,OpenFunding,looking for a research   development consultant  f m  expertise in nanotech materials and r d calls    #jobs #econet,"['looking', 'for', 'a', 'research', 'development', 'consultant', 'f', 'm', 'expertise', 'in', 'nanotech', 'materials', 'and', 'r', 'd', 'calls', '#jobs', '#econet']",e,True,neutral,1
2012-02-09 11:18:59,0,0,2,Econet worst internet provider | Creative Loop http://fb.me/L9B2zmde ,creativeloopzim,econet worst internet provider   creative loop  ,"['econet', 'worst', 'internet', 'provider', 'creative', 'loop']",e,True,neg,1
2012-02-09 14:48:54,0,0,2,"@ALIBABAGCFR same happened to me. Bought my Econet line for 30k, it was sold to a policeman :-(",Dhunni, alibabagcfr same happened to me  bought my econet line for   k  it was sold to a policeman    ,"['alibabagcfr', 'same', 'happened', 'to', 'me', 'bought', 'my', 'econet', 'line', 'for', 'k', 'it', 'was', 'sold', 'to', 'a', 'policeman']",e,True,neg,1
2012-02-10 11:01:41,0,0,1,Gang gets 20 years for raiding #Econet base stations http://www.newsday.co.zw/article/2012-02-10-gang-gets-20-years-for-raiding-econet-base-stations/ … via @newsdayzimbabwe,NewsDayZimbabwe,gang gets    years for raiding #econet base stations    via  newsday,"['gang', 'gets', 'years', 'for', 'raiding', '#econet', 'base', 'stations', 'via', 'newsdayzimbabwe']",e,True,neutral,1
2012-02-13 09:50:08,2,0,2,Think mobile phone coverage is *everywhere* in Africa? Think again. check  Econet Wireless coverage map in Zim http://fb.me/uiJ6Q0wy ,ICT_Works,think mobile phone coverage is  everywhere  in africa  think again  check  econet  coverage map in   ,"['think', 'mobile', 'phone', 'coverage', 'is', 'everywhere', 'in', 'africa', 'think', 'again', 'check', 'econet', 'wireless', 'coverage', 'map', 'in', 'zim']",e,True,neutral,1
2012-02-15 09:24:22,0,1,7,The African Cyber Cafe of the Future is Here Today http://goo.gl/fb/NvPkL  #ICT4D #management #businessmodel #cybercafe #econet,ICT_Works,the african cyber cafe of the future is here today   #ict d #management #businessmodel #cybercafe #econet,"['the', 'african', 'cyber', 'cafe', 'of', 'the', 'future', 'is', 'here', 'today', '#ict', 'd', '#management', '#businessmodel', '#cybercafe', '#econet']",e,True,neutral,1
2012-02-21 07:55:57,0,0,1,Bulawayo24 NEWS | Econet divorces with Ecolife as agreement expire http://shar.es/ggl4W ,Byo24News,bulawayo   news   econet divorces with ecolife as agreement expire  ,"['bulawayo', 'news', 'econet', 'divorces', 'with', 'ecolife', 'as', 'agreement', 'expire']",e,True,neutral,1
2012-02-22 11:43:09,0,0,1,Econet seeks $3.1 billion damages from Bharti Airtel: LAGOS (Reuters) - Econet Wireless is seeking at least $3.1... http://bit.ly/wbRQug ,smartinvestor,econet seeks      billion damages from bharti airtel  lagos  reuters    econet  is seeking at least          ,"['econet', 'seeks', 'billion', 'damages', 'from', 'bharti', 'airtel', 'lagos', 'reuters', 'econet', 'wireless', 'is', 'seeking', 'at', 'least']",e,True,neutral,1
2012-02-23 04:10:01,0,0,1,"#MarketLive #Sensex flat, Airtel plunges nearly 4% after S.Africa's Econet sought $3.1 billion in damages from #Airtel http://bit.ly/wPZ7hO ",FirstpostBiz,#marketlive #sensex flat  airtel plunges nearly    after s africa s econet sought      billion in damages from #airtel  ,"['#marketlive', '#sensex', 'flat', 'airtel', 'plunges', 'nearly', 'after', 's', 'africa', 's', 'econet', 'sought', 'billion', 'in', 'damages', 'from', '#airtel']",e,True,neutral,1
2012-02-23 06:28:27,0,0,0,#BusinessNews: Bharti shares fall after Econet seeks damages http://ow.ly/1hzHpU ,moneycontrolcom,#businessnews  bharti shares fall after econet seeks damages  ,"['#businessnews', 'bharti', 'shares', 'fall', 'after', 'econet', 'seeks', 'damages']",e,True,neutral,1
2012-02-23 07:47:30,0,0,1,Bharti Airtel plunges as Africa's Econet demands damage claims: New Delhi: Shares in Bharti Airtel Ltd f... http://bit.ly/zv0kXf  #Africa,InfoCommando,bharti airtel plunges as africa s econet demands damage claims  new delhi  shares in bharti airtel ltd f      #africa,"['bharti', 'airtel', 'plunges', 'as', 'africa', 's', 'econet', 'demands', 'damage', 'claims', 'new', 'delhi', 'shares', 'in', 'bharti', 'airtel', 'ltd', 'f', '#africa']",e,True,neg,1
2012-02-23 08:54:18,0,0,2,"#Telcos.South Africa-based Econet Wireless seeks $3.1 billion in damages from Bharti Airtel. 
http://www.proshareng.com/news/16401 ",proshare,#telcos south africa based econet  seeks      billion in damages from bharti airtel    ,"['#telcos', 'south', 'africa', 'based', 'econet', 'wireless', 'seeks', 'billion', 'in', 'damages', 'from', 'bharti', 'airtel']",e,True,neutral,1
2012-02-23 11:34:48,0,0,4,"Econet requests $3.1 billion damages from Airtel.A court ruling had earlier declared Airtel's ownership as ""null and void""",Willadebo,econet requests      billion damages from airtel a court ruling had earlier declared airtel s ownership as  null and void ,"['econet', 'requests', 'billion', 'damages', 'from', 'airtel', 'a', 'court', 'ruling', 'had', 'earlier', 'declared', 'airtel', 's', 'ownership', 'as', 'null', 'and', 'void']",e,True,neutral,1
2012-03-01 13:48:53,1,0,1,"""In times of universal deceit, telling the truth is a revolutionary act."" George Orwell - truth is, Econet suck & take us 4 granted #twimbos",joeblackzw, in times of universal deceit  telling the truth is a revolutionary act   george orwell   truth is  econet suck   take us   granted #twimbos,"['in', 'times', 'of', 'universal', 'deceit', 'telling', 'the', 'truth', 'is', 'a', 'revolutionary', 'act', 'george', 'orwell', 'truth', 'is', 'econet', 'suck', 'take', 'us', 'granted', '#twimbos']",e,True,neutral,1
2012-03-02 08:38:36,0,0,1,Bharti unaware of $3.1 billion damage claims by Econet Wireless Limited: http://bit.ly/x7Tft4  via @AddThis,enobong,bharti unaware of      billion damage claims by econet  limited    via  addthis,"['bharti', 'unaware', 'of', 'billion', 'damage', 'claims', 'by', 'econet', 'wireless', 'limited', 'via', 'addthis']",e,True,neutral,1
